Inicio
Blancanieves
Pinocho
Geppetto
Pepito Grillo
Dumbo
Bambi
Cenicienta
Alicia
Peter Pan
Reina
Golfo
Aurora
Malefica
Rey Arturo
Merlín
Mowgli
Bagheera
Baloo
Shere Khan
Winnie The Pooh
Piglet
Tigger
Christopher Robin
Robin Hood
Oliver
Ariel
Flounder
Sebastian
Ursula
Bella
Bestia
Gaston
Lumiere
Aladdin
Abu
Jasmine
Genio
Simba
Scar
Nala
Mufasa
Timon
Pumba
Rafiki
Zazu
Pocahontas
John Smith
Quasimodo
Esmeralda
Hercules
Megara
Hades
Fa Mulan
Mushu
Capitan Li Shang
Tarzan
Jane Porter
Cecil Clayton
Lilo
Stitch
Bolt
Rapunzel
Flynn Rider
Pascal
Ralph
Vanellope von Schweetz
Anna
Elsa
Hans
Kristoff
Olaf
Hiro Hamada
Baymax
Moana Waialiki
Maui
Woody
Buzz Lightyear
Sr. Cara de Papa
Andy
James P. Sullivan
Boo
Mike Wazowski
Marlin
Dory
Nemo
Bob Parr
Helen Parr
Dashiell Robert Parr
Violeta Parr
Edna Moda
Rayo McQueen
Mate
WALL·E
Merida
