Inicio
Cell
Vados
Whis
Tenshinhan
Dabura
Garlic Jr.
Pilaf
Mai
Shu
Janemba
Hildegarn
Tapion
Shen Long
Mr. Popo
Bojack
Zangya
Babidi
Majin-Boo
Dende
Kami-sama
Pikoro
Freezer
Cooler
King Cold
Bulma
Dr. Brief
Milk
Chaoz
Krilin
Mr. Satan
Tao Pai Pai
Uranai Baba
Videl
Yajirobe
Yamcha
Maestro Roshi
Bardock
Broly
Gogeta
Son Goku
Nappa
Raditz
Paragus
Rey Vegeta
Vegeta
Turles
Tarble
Vegetto
Kaulifla
Kale
Cabba
Bura
Son Gohan
Son Goten
Gotenks
Pan
Trunks
Bills
Champa
Rikum
Ginyu
Dodoria
Zarbon
